Venue,Matches
Eden Gardens,77
Wankhede Stadium,73
M Chinnaswamy Stadium,65
Feroz Shah Kotla,60
"Rajiv Gandhi International Stadium, Uppal",49
"MA Chidambaram Stadium, Chepauk",48
Sawai Mansingh Stadium,47
Dubai International Cricket Stadium,46
"Wankhede Stadium, Mumbai",45
"Punjab Cricket Association Stadium, Mohali",35
Sheikh Zayed Stadium,29
Sharjah Cricket Stadium,28
"MA Chidambaram Stadium, Chepauk, Chennai",28
"Narendra Modi Stadium, Ahmedabad",24
Maharashtra Cricket Association Stadium,22
